GSM7990100_metastatic_lymph_node_S2.h5ad;2d-affine: (0.9999997586874451,4.911917884810783e-08,-10275.42685772955,-4.3936409547505834e-07,0.9999998335671321,-5050.005716344519)
GSM7990101_metastatic_lymph_node_S3.h5ad;2d-affine: (0.993423774228845,-0.11445249850084721,-8515.643507762927,0.11444579481769952,0.9934284835414907,-5708.786956304108)
GSM7990102_metastatic_lymph_node_S4.h5ad;2d-affine: (0.9872035206485508,-0.1594699383122244,-9666.078253147034,0.15947044406943925,0.9872025683498212,-8003.9537880554935)
GSM7990103_metastatic_lymph_node_S5.h5ad;2d-affine: (0.3242551221114074,0.945969031585552,-10758.296698506445,-0.9459693253270078,0.3242564680466648,2671.5180682059636)
GSM7990104_metastatic_lymph_node_S6.h5ad;2d-affine: (0.24674469473116672,0.9690771644596723,-10567.524345835798,-0.9690871746340239,0.24675641501241968,7464.548557702807)
GSM7990105_metastatic_lymph_node_S7.h5ad;2d-affine: (0.7690959258966867,-0.6391341905778887,-1253.5292278795255,-0.6391348029839564,-0.7690951411395336,8622.84485866132)
GSM7990106_metastatic_lymph_node_S9.h5ad;2d-affine: (0.8511613367376627,0.5249663084462243,-9355.116030508092,0.5249648021780163,-0.8511227943855638,2763.168248892125)
GSM7990107_metastatic_lymph_node_S11.h5ad;2d-affine: (0.7966704441403581,0.6044153577360999,-9555.580003758705,0.6044160041880848,-0.7966693065110801,299.0568833340931)
GSM7990108_metastatic_lymph_node_S17.h5ad;2d-affine: (0.7965018816446042,0.604629404821894,-9156.391835435486,0.6046258181149814,-0.7965069367344196,1669.962752184394)
GSM7990109_metastatic_lymph_node_S18.h5ad;2d-affine: (0.5933843116352908,0.8049243455252483,-9685.146131783611,0.8049236342927337,-0.5933786666255402,-1528.7044259131449)
GSM7990110_metastatic_lymph_node_S19.h5ad;2d-affine: (0.8596829408594192,0.5108086846908373,-9367.691422364522,0.5108078174728427,-0.8596952203649635,2959.2955994041668)
GSM7990111_metastatic_lymph_node_S23.h5ad;2d-affine: (0.7463920755583638,0.665493773443585,-10713.589176943948,0.6654936691066178,-0.7464019684876844,1127.619132313479)
GSM7990112_metastatic_lymph_node_S24.h5ad;2d-affine: (0.8098486536325417,0.5866158661630175,-10015.088854359157,0.58659070111271,-0.8098664336087321,2032.5755627898843)
GSM7990113_metastatic_lymph_node_S25.h5ad;2d-affine: (0.7428568845344181,0.669415485489097,-9471.039762126935,0.6693990468356565,-0.7428889880936508,1470.8127261102663)
GSM7990114_metastatic_lymph_node_S26.h5ad;2d-affine: (0.8803801905722969,0.4742967827446424,-10204.704396798397,0.4743025786583651,-0.8803649447360574,3261.929289231715)
GSM7990115_metastatic_lymph_node_S28.h5ad;2d-affine: (0.8186005436962706,0.5743756826937294,-10523.614607893809,0.5743733526971261,-0.8185919119949864,798.8182702508961)
GSM7990116_metastatic_lymph_node_S33.h5ad;2d-affine: (0.8726168350827449,0.4883060783447034,-8667.854077989698,0.48827053355559136,-0.8726725339194756,3397.7239733788592)
GSM7990117_metastatic_lymph_node_S34.h5ad;2d-affine: (0.7920399325410141,0.6104132723052901,-11091.188660509008,0.6103745155454672,-0.7920813271556364,1500.9357269850252)
GSM7990118_metastatic_lymph_node_S36.h5ad;2d-affine: (0.855615302810391,0.5176472835430314,-10340.559488620322,0.5176673888753879,-0.8555950438224061,4018.4619591767737)
